语料ID,产品ID,产品名称
酒店评论-1270,ID1,IU酒店(茂名人民南路油城大厦店)
酒店评论-1079,ID2,Q加·茂名大喜假日酒店
酒店评论-1879,ID3,柏高酒店(茂名高铁站店)
酒店评论-1423,ID4,柏曼酒店(茂名大道东汇城店)
酒店评论-1465,ID5,柏曼酒店(茂名油城七路店)
酒店评论-1649,ID6,城市便捷酒店(茂名滨海新区电城店)
酒店评论-1490,ID7,城市便捷酒店(茂名水东万达广场区政府店)
酒店评论-1019,ID8,城市便捷酒店(茂名学府店)
酒店评论-1219,ID9,高州简尚精品酒店
酒店评论-1453,ID10,高州卡尔顿酒店
酒店评论-1435,ID11,高州明悦宾馆
酒店评论-1429,ID12,高州顺得商务酒店
酒店评论-1492,ID13,高州沿江商务宾馆
酒店评论-2093,ID14,哈曼酒店(化州火车站店)
酒店评论-1007,ID15,好莱登商务宾馆(信宜绍秀体育馆店)
酒店评论-1071,ID16,华海酒店(茂名高铁站店)
酒店评论-1014,ID17,化州汇嘉大酒店
酒店评论-1350,ID18,化州桔龙商务酒店
酒店评论-1092,ID19,化州铭丰假日酒店
酒店评论-1919,ID20,化州森思思酒店
酒店评论-1796,ID21,化州桐趣电影游戏主题酒店
酒店评论-1055,ID22,精途酒店(茂名高铁火车站店)
酒店评论-1427,ID23,凯里亚德酒店(茂名电白万达广场店)
酒店评论-1540,ID24,凯里亚德酒店(茂名高铁站店)
酒店评论-1439,ID25,兰欧酒店(信宜绍秀体育馆店)
酒店评论-1445,ID26,麗枫酒店(茂名电白万达广场店)
酒店评论-1440,ID27,麗枫酒店(茂名高铁站店)
酒店评论-2046,ID28,麗枫酒店(茂名水东店)
酒店评论-1433,ID29,茂名安途四季酒店
酒店评论-1018,ID30,茂名柏丽酒店
酒店评论-1566,ID31,茂名碧海湾酒店
酒店评论-1004,ID32,茂名诚荟酒店
酒店评论-1592,ID33,茂名东诚智能公寓
酒店评论-1022,ID34,茂名观海楼假日酒店
酒店评论-1024,ID35,茂名国际大酒店
酒店评论-1008,ID36,茂名海豚酒店
酒店评论-1016,ID37,茂名海云雁酒店
