产品1ID,产品2ID,关联度,关联类型,,
ID1,ID87,5.00 ,酒店-酒店,,
ID16,ID176,12.95 ,酒店-景区,,
ID31,ID180,3.00 ,酒店-景区,,
ID33,ID176,2.00 ,酒店-景区,,
ID34,ID159,9.00 ,酒店-景区,,
ID35,ID176,21.83 ,酒店-景区,,
ID36,ID143,7.95 ,酒店-景区,,
ID37,ID186,3.98 ,酒店-景区,,
ID38,ID176,4.00 ,酒店-景区,,
ID42,ID176,4.00 ,酒店-景区,,
ID43,ID176,5.00 ,酒店-景区,,
ID52,ID176,56.13 ,酒店-景区,,
ID58,ID176,23.78 ,酒店-景区,,
ID59,ID176,11.96 ,酒店-景区,,
ID60,ID35,6.27 ,酒店-酒店,,
ID64,ID35,5.76 ,酒店-酒店,,
ID66,ID91,1.99 ,酒店-景区,,
ID67,ID80,7.00 ,酒店-酒店,,
ID70,ID176,3.00 ,酒店-景区,,
ID71,ID72,18.00 ,酒店-酒店,,
ID72,ID71,18.00 ,酒店-酒店,,
ID73,ID71,18.00 ,酒店-酒店,,
ID74,ID71,18.00 ,酒店-酒店,,
ID76,ID176,4.00 ,酒店-景区,,
ID79,ID176,21.87 ,酒店-景区,,
ID80,ID67,7.00 ,酒店-酒店,,
ID87,ID1,5.00 ,酒店-酒店,,
ID88,ID176,25.85 ,酒店-景区,,
ID90,ID131,44.16 ,景区-景区,,
ID91,ID176,361.34 ,景区-景区,,
ID92,ID134,60.00 ,景区-景区,,
ID95,ID176,13.96 ,景区-景区,,
ID98,ID143,9.92 ,景区-景区,,
ID99,ID176,2.00 ,景区-景区,,
ID100,ID91,10.00 ,景区-景区,,
ID101,ID91,1.99 ,景区-景区,,
ID102,ID176,120.26 ,景区-景区,,
ID103,ID176,54.13 ,景区-景区,,
ID104,ID162,10.27 ,景区-景区,,
ID105,ID162,11.20 ,景区-景区,,
ID106,ID176,58.93 ,景区-景区,,
ID107,ID152,24.36 ,景区-景区,,
ID108,ID176,217.60 ,景区-景区,,
ID109,ID176,162.13 ,景区-景区,,
ID110,ID111,151.00 ,景区-景区,,
ID111,ID110,151.00 ,景区-景区,,
ID112,ID91,23.78 ,景区-景区,,
ID113,ID176,16.92 ,景区-景区,,
ID114,ID181,91.00 ,景区-景区,,
ID115,ID126,9.57 ,景区-景区,,
ID116,ID176,22.86 ,景区-景区,,
ID119,ID176,10.98 ,景区-景区,,
ID123,ID152,8.84 ,景区-景区,,
ID124,ID176,20.90 ,景区-景区,,
ID126,ID176,18.86 ,景区-景区,,
ID128,ID176,157.73 ,景区-景区,,
ID130,ID92,8.00 ,景区-景区,,
ID131,ID183,461.00 ,景区-景区,,
ID132,ID176,3.00 ,景区-景区,,
ID133,ID176,118.17 ,景区-景区,,
ID134,ID92,60.00 ,景区-景区,,
ID135,ID176,11.97 ,景区-景区,,
ID136,ID143,8.97 ,景区-景区,,
ID137,ID106,10.31 ,景区-景区,,
ID138,ID176,8.00 ,景区-景区,,
ID139,ID143,13.73 ,景区-景区,,
ID140,ID92,60.00 ,景区-景区,,
ID141,ID131,34.60 ,景区-景区,,
ID143,ID176,407.49 ,景区-景区,,
ID145,ID178,8.76 ,景区-景区,,
ID147,ID148,18.00 ,景区-景区,,
ID148,ID147,18.00 ,景区-景区,,
ID150,ID151,89.00 ,景区-景区,,
ID151,ID150,89.00 ,景区-景区,,
ID152,ID158,282.00 ,景区-景区,,
ID153,ID143,7.00 ,景区-景区,,
ID154,ID176,42.70 ,景区-景区,,
ID155,ID91,3.00 ,景区-景区,,
ID156,ID105,2.00 ,景区-景区,,
ID157,ID143,11.97 ,景区-景区,,
ID158,ID152,282.00 ,景区-景区,,
ID159,ID186,18.07 ,景区-景区,,
ID160,ID176,15.86 ,景区-景区,,
ID161,ID131,3.97 ,景区-景区,,
ID162,ID188,98.00 ,景区-景区,,
ID164,ID126,5.00 ,景区-景区,,
ID165,ID176,57.70 ,景区-景区,,
ID166,ID143,12.78 ,景区-景区,,
ID169,ID176,8.00 ,景区-景区,,
ID171,ID176,136.59 ,景区-景区,,
ID172,ID131,29.45 ,景区-景区,,
ID173,ID152,175.00 ,景区-景区,,
ID175,ID176,28.50 ,景区-景区,,
ID176,ID143,86.91 ,景区-景区,,
ID177,ID113,6.00 ,景区-景区,,
ID178,ID176,173.87 ,景区-景区,,
ID179,ID128,4.95 ,景区-景区,,
ID180,ID176,86.89 ,景区-景区,,
ID181,ID114,91.00 ,景区-景区,,
ID182,ID91,6.99 ,景区-景区,,
ID183,ID131,461.00 ,景区-景区,,
ID184,ID196,13.72 ,景区-景区,,
ID185,ID160,2.87 ,景区-景区,,
ID186,ID176,162.71 ,景区-景区,,
ID187,ID176,2.00 ,景区-景区,,
ID188,ID162,98.00 ,景区-景区,,
ID189,ID176,40.72 ,景区-景区,,
ID191,ID131,2.00 ,景区-景区,,
ID192,ID176,21.95 ,景区-景区,,
ID193,ID176,3.99 ,景区-景区,,
ID195,ID131,4.98 ,景区-景区,,
ID196,ID176,82.45 ,景区-景区,,
ID197,ID131,30.17 ,景区-景区,,
ID198,ID152,6.69 ,景区-景区,,
ID200,ID152,15.77 ,景区-景区,,
ID201,ID113,6.00 ,景区-景区,,
ID202,ID176,72.79 ,景区-景区,,
ID204,ID176,14.90 ,餐饮-景区,,
ID206,ID176,17.96 ,餐饮-景区,,
ID207,ID176,16.94 ,餐饮-景区,,
ID211,ID176,9.99 ,餐饮-景区,,
ID213,ID143,17.22 ,餐饮-景区,,
ID214,ID91,2.98 ,餐饮-景区,,
ID216,ID176,10.97 ,餐饮-景区,,
ID221,ID270,31.00 ,餐饮-餐饮,,
ID238,ID143,2.00 ,餐饮-景区,,
ID239,ID143,20.42 ,餐饮-景区,,
ID253,ID176,33.40 ,餐饮-景区,,
ID255,ID143,3.00 ,餐饮-景区,,
ID257,ID52,2.00 ,餐饮-酒店,,
ID266,ID143,1.99 ,餐饮-景区,,
ID270,ID221,31.00 ,餐饮-餐饮,,
ID271,ID176,4.00 ,餐饮-景区,,
ID272,ID176,7.00 ,餐饮-景区,,
ID273,ID176,56.11 ,餐饮-景区,,
ID274,ID176,14.77 ,餐饮-景区,,
ID278,ID109,1.99 ,餐饮-景区,,
ID279,ID176,2.00 ,餐饮-景区,,
ID280,ID58,10.42 ,餐饮-酒店,,
